Loading corpus at level h1 ...
  5 clusters, 1,986,659 documents (smallest 340221, largest 454264)

Running intrusion | level=h1 | model=deepseek-v4-flash | prompt=decisive | trials=1000 | seed=20250628

Trial    1 | true=4 pred=5 |  X
Trial    2 | true=4 pred=4 | OK
Trial    3 | true=3 pred=2 |  X
Trial    4 | true=3 pred=3 | OK
Trial    5 | true=1 pred=4 |  X
Trial    6 | true=1 pred=3 |  X
Trial    7 | true=2 pred=2 | OK
Trial    8 | true=4 pred=5 |  X
Trial    9 | true=3 pred=5 |  X [truncated]
Trial   10 | true=2 pred=2 | OK
Trial   11 | true=4 pred=4 | OK
Trial   12 | true=4 pred=4 | OK
Trial   13 | true=4 pred=4 | OK
Trial   14 | true=5 pred=5 | OK
Trial   15 | true=1 pred=1 | OK
Trial   16 | true=5 pred=5 | OK
Trial   17 | true=3 pred=2 |  X
Trial   18 | true=1 pred=4 |  X
Trial   19 | true=4 pred=5 |  X
Trial   20 | true=3 pred=4 |  X
Trial   21 | true=2 pred=5 |  X [truncated]
Trial   22 | true=3 pred=5 |  X
Trial   23 | true=1 pred=1 | OK
Trial   24 | true=4 pred=1 |  X
Trial   25 | true=4 pred=4 | OK
Trial   26 | true=5 pred=5 | OK
Trial   27 | true=3 pred=3 | OK
Trial   28 | true=5 pred=4 |  X
Trial   29 | true=4 pred=3 |  X
Trial   30 | true=1 pred=4 |  X
Trial   31 | true=4 pred=5 |  X [truncated]
Trial   32 | true=3 pred=5 |  X
Trial   33 | true=1 pred=5 |  X
Trial   34 | true=2 pred=2 | OK
Trial   35 | true=2 pred=3 |  X [truncated]
Trial   36 | true=3 pred=2 |  X
Trial   37 | true=5 pred=5 | OK
Trial   38 | true=4 pred=4 | OK
Trial   39 | true=1 pred=1 | OK
Trial   40 | true=2 pred=3 |  X [truncated]
Trial   41 | true=1 pred=4 |  X
Trial   42 | true=4 pred=4 | OK [truncated]
Trial   43 | true=3 pred=3 | OK
Trial   44 | true=1 pred=2 |  X
Trial   45 | true=2 pred=5 |  X [truncated]
Trial   46 | true=1 pred=2 |  X
Trial   47 | true=1 pred=2 |  X
Trial   48 | true=2 pred=5 |  X [truncated]
Trial   49 | true=1 pred=1 | OK
Trial   50 | true=3 pred=2 |  X
Trial   51 | true=2 pred=3 |  X
Trial   52 | true=1 pred=1 | OK
Trial   53 | true=3 pred=3 | OK
Trial   54 | true=1 pred=2 |  X
Trial   55 | true=2 pred=4 |  X
Trial   56 | true=3 pred=3 | OK
Trial   57 | true=2 pred=3 |  X [truncated]
Trial   58 | true=3 pred=3 | OK
Trial   59 | true=5 pred=5 | OK [truncated]
Trial   60 | true=5 pred=3 |  X
Trial   61 | true=4 pred=4 | OK
Trial   62 | true=3 pred=5 |  X [truncated]
Trial   63 | true=5 pred=4 |  X
Trial   64 | true=4 pred=4 | OK
Trial   65 | true=4 pred=4 | OK
Trial   66 | true=4 pred=2 |  X
Trial   67 | true=4 pred=4 | OK
Trial   68 | true=4 pred=3 |  X
Trial   69 | true=5 pred=5 | OK
Trial   70 | true=2 pred=4 |  X
