Loading corpus at level h3 ...
  106 clusters, 1,986,659 documents (smallest 3412, largest 49613)

Running intrusion | level=h3 | model=deepseek-v4-flash | prompt=decisive | trials=1000 | seed=20250628

Trial    1 | true=1 pred=1 | OK
Trial    2 | true=4 pred=4 | OK
Trial    3 | true=5 pred=4 |  X
Trial    4 | true=5 pred=5 | OK
Trial    5 | true=1 pred=1 | OK
Trial    6 | true=5 pred=5 | OK
Trial    7 | true=2 pred=2 | OK
Trial    8 | true=5 pred=5 | OK
Trial    9 | true=3 pred=4 |  X
Trial   10 | true=3 pred=3 | OK
Trial   11 | true=5 pred=5 | OK
Trial   12 | true=2 pred=2 | OK
Trial   13 | true=1 pred=1 | OK
Trial   14 | true=2 pred=2 | OK
Trial   15 | true=1 pred=1 | OK
Trial   16 | true=4 pred=4 | OK
Trial   17 | true=1 pred=1 | OK
Trial   18 | true=4 pred=4 | OK
Trial   19 | true=4 pred=4 | OK
Trial   20 | true=1 pred=2 |  X
Trial   21 | true=3 pred=3 | OK
Trial   22 | true=3 pred=3 | OK
Trial   23 | true=1 pred=1 | OK
Trial   24 | true=3 pred=3 | OK
Trial   25 | true=4 pred=4 | OK
Trial   26 | true=3 pred=3 | OK
Trial   27 | true=3 pred=3 | OK
Trial   28 | true=2 pred=2 | OK
Trial   29 | true=5 pred=5 | OK
Trial   30 | true=2 pred=2 | OK
Trial   31 | true=3 pred=3 | OK
Trial   32 | true=2 pred=2 | OK
Trial   33 | true=2 pred=2 | OK
Trial   34 | true=5 pred=5 | OK
Trial   35 | true=4 pred=4 | OK
Trial   36 | true=3 pred=5 |  X
Trial   37 | true=4 pred=3 |  X [reasoning] [truncated]
Trial   38 | true=2 pred=2 | OK
Trial   39 | true=3 pred=3 | OK
Trial   40 | true=4 pred=4 | OK
Trial   41 | true=1 pred=1 | OK
Trial   42 | true=5 pred=5 | OK
Trial   43 | true=2 pred=2 | OK
Trial   44 | true=5 pred=5 | OK
Trial   45 | true=3 pred=3 | OK
Trial   46 | true=3 pred=3 | OK
Trial   47 | true=2 pred=2 | OK
Trial   48 | true=5 pred=5 | OK
Trial   49 | true=2 pred=2 | OK
Trial   50 | true=5 pred=5 | OK
Trial   51 | true=3 pred=3 | OK
Trial   52 | true=3 pred=3 | OK
Trial   53 | true=1 pred=4 |  X
Trial   54 | true=2 pred=4 |  X [truncated]
Trial   55 | true=1 pred=1 | OK
Trial   56 | true=5 pred=5 | OK
Trial   57 | true=1 pred=1 | OK
Trial   58 | true=1 pred=1 | OK
Trial   59 | true=1 pred=1 | OK
Trial   60 | true=2 pred=2 | OK
Trial   61 | true=3 pred=5 |  X [truncated]
Trial   62 | true=2 pred=2 | OK
Trial   63 | true=2 pred=2 | OK
Trial   64 | true=3 pred=3 | OK
Trial   65 | true=4 pred=2 |  X
Trial   66 | true=1 pred=1 | OK
Trial   67 | true=4 pred=4 | OK
Trial   68 | true=5 pred=5 | OK
Trial   69 | true=3 pred=3 | OK
Trial   70 | true=4 pred=1 |  X
Trial   71 | true=5 pred=5 | OK
Trial   72 | true=5 pred=5 | OK
Trial   73 | true=1 pred=1 | OK
Trial   74 | true=2 pred=4 |  X
Trial   75 | true=3 pred=3 | OK
Trial   76 | true=4 pred=4 | OK
Trial   77 | true=1 pred=1 | OK
Trial   78 | true=5 pred=5 | OK
Trial   79 | true=1 pred=5 |  X [truncated]
Trial   80 | true=2 pred=2 | OK
Trial   81 | true=3 pred=3 | OK
Trial   82 | true=5 pred=5 | OK
Trial   83 | true=1 pred=4 |  X
Trial   84 | true=4 pred=4 | OK
Trial   85 | true=3 pred=3 | OK
Trial   86 | true=3 pred=3 | OK
Trial   87 | true=4 pred=4 | OK
Trial   88 | true=3 pred=3 | OK
Trial   89 | true=5 pred=3 |  X
Trial   90 | true=3 pred=3 | OK
Trial   91 | true=1 pred=1 | OK
Trial   92 | true=3 pred=3 | OK
Trial   93 | true=1 pred=1 | OK
Trial   94 | true=4 pred=4 | OK
Trial   95 | true=1 pred=1 | OK
Trial   96 | true=1 pred=1 | OK
Trial   97 | true=4 pred=4 | OK
Trial   98 | true=4 pred=4 | OK
Trial   99 | true=3 pred=4 |  X
Trial  100 | true=5 pred=5 | OK
Trial  101 | true=4 pred=4 | OK
Trial  102 | true=5 pred=5 | OK
Trial  103 | true=1 pred=1 | OK
Trial  104 | true=4 pred=4 | OK
Trial  105 | true=2 pred=2 | OK
Trial  106 | true=2 pred=2 | OK
Trial  107 | true=3 pred=3 | OK
Trial  108 | true=4 pred=4 | OK
Trial  109 | true=3 pred=2 |  X
Trial  110 | true=4 pred=4 | OK
Trial  111 | true=4 pred=4 | OK
Trial  112 | true=2 pred=3 |  X
Trial  113 | true=4 pred=4 | OK
Trial  114 | true=2 pred=2 | OK
Trial  115 | true=4 pred=4 | OK [truncated]
Trial  116 | true=2 pred=3 |  X
Trial  117 | true=3 pred=4 |  X
Trial  118 | true=2 pred=2 | OK
Trial  119 | true=4 pred=4 | OK
Trial  120 | true=4 pred=4 | OK
Trial  121 | true=1 pred=1 | OK
Trial  122 | true=4 pred=4 | OK
Trial  123 | true=3 pred=3 | OK
Trial  124 | true=5 pred=4 |  X
Trial  125 | true=1 pred=1 | OK
Trial  126 | true=4 pred=4 | OK
Trial  127 | true=4 pred=5 |  X [truncated]
Trial  128 | true=1 pred=1 | OK
Trial  129 | true=4 pred=4 | OK
Trial  130 | true=1 pred=1 | OK
Trial  131 | true=3 pred=3 | OK
Trial  132 | true=1 pred=1 | OK
Trial  133 | true=5 pred=1 |  X
Trial  134 | true=1 pred=1 | OK
Trial  135 | true=2 pred=2 | OK
Trial  136 | true=2 pred=2 | OK
Trial  137 | true=1 pred=1 | OK
Trial  138 | true=5 pred=5 | OK
Trial  139 | true=1 pred=1 | OK
Trial  140 | true=1 pred=5 |  X
Trial  141 | true=2 pred=2 | OK
Trial  142 | true=3 pred=3 | OK
Trial  143 | true=4 pred=4 | OK
Trial  144 | true=1 pred=1 | OK
Trial  145 | true=4 pred=5 |  X [truncated]
Trial  146 | true=4 pred=5 |  X
Trial  147 | true=5 pred=5 | OK
Trial  148 | true=5 pred=5 | OK
Trial  149 | true=4 pred=4 | OK
Trial  150 | true=3 pred=4 |  X
Trial  151 | true=5 pred=5 | OK
Trial  152 | true=5 pred=5 | OK
Trial  153 | true=2 pred=2 | OK
Trial  154 | true=3 pred=3 | OK
Trial  155 | true=3 pred=3 | OK
Trial  156 | true=2 pred=2 | OK
Trial  157 | true=3 pred=3 | OK
Trial  158 | true=5 pred=5 | OK
Trial  159 | true=5 pred=5 | OK
Trial  160 | true=4 pred=4 | OK
Trial  161 | true=3 pred=3 | OK
Trial  162 | true=2 pred=2 | OK
Trial  163 | true=2 pred=3 |  X
Trial  164 | true=2 pred=2 | OK
Trial  165 | true=3 pred=4 |  X
Trial  166 | true=1 pred=4 |  X
Trial  167 | true=1 pred=1 | OK
Trial  168 | true=5 pred=5 | OK
Trial  169 | true=4 pred=5 |  X
Trial  170 | true=3 pred=3 | OK
Trial  171 | true=1 pred=1 | OK
Trial  172 | true=5 pred=3 |  X
Trial  173 | true=2 pred=2 | OK
Trial  174 | true=1 pred=1 | OK
Trial  175 | true=1 pred=1 | OK
Trial  176 | true=1 pred=1 | OK
Trial  177 | true=3 pred=1 |  X
Trial  178 | true=4 pred=2 |  X
Trial  179 | true=4 pred=3 |  X
Trial  180 | true=1 pred=1 | OK
Trial  181 | true=3 pred=3 | OK
