code,cluster,total_citations,corpus_share,cn_cits,us_cits,eu27_cits,row_cits,cn_share,us_share,eu27_share,row_share
00,Computer Vision & Image Processing,1934964.0000000005,0.09763868925568418,848689.3094016555,316117.2987560597,246672.18144698467,523485.21039530047,0.4386072864413267,0.16337115251552983,0.12748153528798706,0.27054002575515634
01,Natural Language Processing,471497.00000000023,0.023791837506014237,109027.02155618623,142470.38894691097,84638.71319659048,135360.87630031252,0.23123587542696172,0.30216605608712443,0.17951060811964964,0.28708746036626415
02,Speech Recognition & Audio Processing,282246.0000000001,0.014242192354824091,62179.318894268086,57789.54144546008,52487.724862000774,109789.41479827117,0.22030186041349767,0.20474884124295847,0.1859644595919898,0.38898483875155404
03,Biomarkers for Health & Performance,564789.0,0.028499371391937315,136650.41256480134,73333.83805447376,110590.96520661557,244213.78417410929,0.2419494936424069,0.1298428936372234,0.19580934686514,0.4323982658552296
04,Machine Learning Foundations,1200830.0,0.06059413364739768,308560.4750076227,280489.2247583282,195961.31827446033,415818.9819595887,0.256956001272139,0.2335794615043996,0.1631882267052458,0.3462763105182155
10,Medical Imaging & Radiology,1056955.0000000005,0.053334170972814836,229251.9456952985,184651.6352866298,199641.00921448076,443410.4098035913,0.21689849207894224,0.17470151074230192,0.18888316836050795,0.4195168288182478
11,Neuroscience & Mental Health,888885.9999999998,0.04485337398407828,106543.60682276436,225571.9558594885,256917.69622500925,299852.74109273765,0.11986194722693842,0.25376927509206865,0.2890333476115152,0.3373354300694777
12,Clinical Informatics & Public Health,1337947.0,0.06751308622464028,164173.0456943786,317489.99232818955,298117.35405430285,558166.6079231289,0.12270519362454463,0.23729638941467004,0.22281701297159218,0.41718140398919307
13,Molecular Biology & Drug Discovery,569563.0000000002,0.0287402684331777,99711.48411368766,152032.4110464981,123000.15156644981,194818.95327336463,0.17506664603158495,0.26692817308444905,0.21595530532434473,0.34204987555962124
14,Microbial and Immune Systems Biology,420350.0,0.02121094915906799,106108.71759674235,96371.38337311159,93462.48916136345,124407.40986878262,0.25242944593015904,0.22926462084717875,0.2223444490576031,0.2959614841650592
15,Genetics & Genomics,1058937.0,0.05343418310849525,271933.1106422438,276533.1474482184,255199.84695888744,255270.89495065037,0.2567981953999566,0.26114220907213403,0.2409962509185036,0.24106334460940582
20,Education & Learning Science,712487.0,0.03595224344830945,92730.18436465359,109430.79443072689,145355.70649661383,364970.3147080057,0.1301500018451615,0.15358988224448572,0.20401173143736492,0.5122483844729878
21,Digital Media & Communication,448176.00000000006,0.02261505495495291,73577.33349561678,94258.3449582681,73171.30179690814,207169.01974920701,0.1641706238076487,0.21031546749104837,0.16326465896636172,0.46224924973494114
22,Politics & Governance,175571.0,0.008859349482114252,9926.497953736789,38669.45312663704,55334.074921466505,71640.97399815966,0.05653836882934419,0.22024966040312488,0.31516637099217126,0.40804559977535965
23,Finance & Stock Market,200951.0,0.010140029605005048,34226.12470290957,30139.0319874175,44531.89109496709,92053.95221470585,0.17032074835611452,0.14998199554825556,0.22160572027492817,0.4580915358207018
24,Business & Management,1003006.0,0.05061189311821137,158700.6578191592,121974.75126204839,293998.64932965575,428331.9415891366,0.15822503336885244,0.12160919402480981,0.2931175380103965,0.4270482345959412
25,Urban Development,251347.00000000003,0.01268302233444573,34772.06543008641,26431.189798144344,86838.89354435606,103304.85122741322,0.13834287033498074,0.10515816698884148,0.34549405222404106,0.4110049104521367
26,Ethical & Creative AI,194408.99999999997,0.009809918912965976,12941.998928024856,48576.76524077864,65036.381728794186,67853.85410240231,0.06657098656967968,0.24986891162846703,0.33453380105239056,0.34902630074946284
30,Climate & Hydrology,990286.9999999997,0.04997008971068385,253809.75963952782,166074.59005876683,234729.52842498658,335673.1218767185,0.25629919370801385,0.16770349409693036,0.23703181847786214,0.3389654937171937
31,Material Science,960066.9999999999,0.04844518217271066,253728.04780186169,163233.30179390547,213712.43176813796,329393.2186360948,0.2642816051399139,0.17002282319244957,0.22260158068982475,0.34309399097781185
32,Energy & Thermodynamics,189063.0,0.009540158631761322,38598.67959347067,17228.231490057013,35499.77516359008,97736.31375288226,0.20415776536641578,0.09112428920548712,0.18776690925030323,0.5169510361777939
33,Agriculture & Forestry,689444.0,0.03478948883555245,170113.29166656447,75150.99522169959,159500.96454834213,284678.7485633939,0.24673982465082656,0.10900231958172032,0.23134723711910196,0.41291061864835127
34,Astrophysics & Quantumphysics,322702.00000000006,0.016283610599570737,24028.62970490842,102668.85622229284,108391.1383845417,87613.3756882571,0.07446073995484508,0.3181537648427739,0.33588616861544607,0.271499326586935
35,Neuromorphic Hardware Accelerators,219572.9999999999,0.01107969963055557,72529.21258541074,49981.75255892836,33054.24467486632,64007.79018079449,0.3303193588711307,0.22763159659397275,0.1505387487298818,0.2915102958050148
36,Construction & City Planning,193083.0,0.009743008674866955,32471.501333450844,26534.72861050737,55495.60281668881,78581.16723935296,0.16817379745213634,0.1374265399362314,0.2874183787111699,0.4069812839004623
40,Cybersecurity & Privacy,987474.0,0.04982814514071965,201507.7020832317,188711.5697544851,155913.32557528478,441341.4025869985,0.2040638053085263,0.19110535543668503,0.15789106910691802,0.44693977014787073
41,IoT & Edge Computing,672163.0000000003,0.03391748595124688,230526.32174079726,72902.61832504121,113479.7508507335,255254.30908342835,0.34296193295494865,0.10845973123340794,0.16882772608836463,0.37975060972327873
42,Anomaly & Fault Detection,227925.0,0.011501143302201908,113356.43563631161,17200.033793548173,29061.304470954994,68307.22609918521,0.4973409482782126,0.07546356825073236,0.12750380375542392,0.29969167971563104
43,Energy Technologies,720373.0000000001,0.036350172662222645,189688.19578858349,66450.81477641666,140598.76548008318,323635.2239549168,0.2633194133991466,0.09224501026054094,0.19517495169874935,0.44926062464156313
44,Autonomous Mobility,393695.0,0.01986593226877429,138367.99240294646,52628.97634831369,71263.54827628283,131434.48297245702,0.35145986716353134,0.1336795650143225,0.18101207349923884,0.33384849432290736
45,Robotics & Mechatronics,478835.0000000001,0.024162114524996607,178117.37254329462,78468.43272170947,80185.02926561091,142064.16546938516,0.37198068759237435,0.16387363647542358,0.16745858023246188,0.2966870956997403
